Area;MTU;Hydro - Actual Aggregated [MW];Nuclear  - Actual Aggregated [MW];Other renewable  - Actual Aggregated [MW];Solar  - Actual Aggregated [MW];Wind - Actual Aggregated [MW]
BZN|ES;08.03.2021 19:00 - 08.03.2021 20:00 (CET);10421;7116;108;142;8078
BZN|ES;08.03.2021 20:00 - 08.03.2021 21:00 (CET);10837;7116;108;37;8362
BZN|ES;08.03.2021 21:00 - 08.03.2021 22:00 (CET);9056;7116;106;20;8307
BZN|ES;08.03.2021 22:00 - 08.03.2021 23:00 (CET);8441;7116;100;18;8371
BZN|ES;08.03.2021 23:00 - 09.03.2021 00:00 (CET);6941;7116;100;18;8283
BZN|ES;09.03.2021 00:00 - 09.03.2021 01:00 (CET);5359;7115;97;18;8102
BZN|ES;09.03.2021 01:00 - 09.03.2021 02:00 (CET);5029;7115;98;19;7880
BZN|ES;09.03.2021 02:00 - 09.03.2021 03:00 (CET);5154;7117;98;18;7986
BZN|ES;09.03.2021 03:00 - 09.03.2021 04:00 (CET);5578;7115;98;18;7738
BZN|ES;09.03.2021 04:00 - 09.03.2021 05:00 (CET);5907;7117;93;18;7464
BZN|ES;09.03.2021 05:00 - 09.03.2021 06:00 (CET);5506;7118;95;18;6810
BZN|ES;09.03.2021 06:00 - 09.03.2021 07:00 (CET);5916;7115;96;17;6304
BZN|ES;09.03.2021 07:00 - 09.03.2021 08:00 (CET);8373;7114;98;39;6147
BZN|ES;09.03.2021 08:00 - 09.03.2021 09:00 (CET);9010;7115;106;976;5672
BZN|ES;09.03.2021 09:00 - 09.03.2021 10:00 (CET);8762;7114;105;3167;5430
BZN|ES;09.03.2021 10:00 - 09.03.2021 11:00 (CET);8640;7113;105;4996;5257
BZN|ES;09.03.2021 11:00 - 09.03.2021 12:00 (CET);7357;7116;106;6287;5091
BZN|ES;09.03.2021 12:00 - 09.03.2021 13:00 (CET);6536;7116;106;6507;5161
BZN|ES;09.03.2021 13:00 - 09.03.2021 14:00 (CET);5645;7115;106;6487;5457
BZN|ES;09.03.2021 14:00 - 09.03.2021 15:00 (CET);5879;7115;106;6264;5400
BZN|ES;09.03.2021 15:00 - 09.03.2021 16:00 (CET);5901;7113;108;5951;5268
BZN|ES;09.03.2021 16:00 - 09.03.2021 17:00 (CET);6815;7112;108;5670;5134
BZN|ES;09.03.2021 17:00 - 09.03.2021 18:00 (CET);7482;7112;110;4509;5203
BZN|ES;09.03.2021 18:00 - 09.03.2021 19:00 (CET);8575;7112;112;2090;5065
BZN|ES;09.03.2021 19:00 - 09.03.2021 20:00 (CET);10368;7111;112;418;5223
BZN|ES;09.03.2021 20:00 - 09.03.2021 21:00 (CET);10574;7113;111;176;5420
BZN|ES;09.03.2021 21:00 - 09.03.2021 22:00 (CET);9978;7116;110;98;5109
BZN|ES;09.03.2021 22:00 - 09.03.2021 23:00 (CET);9067;7116;106;77;4889
BZN|ES;09.03.2021 23:00 - 10.03.2021 00:00 (CET);6592;7116;107;77;4722
BZN|ES;10.03.2021 00:00 - 10.03.2021 01:00 (CET);5673;7115;103;73;4508
BZN|ES;10.03.2021 01:00 - 10.03.2021 02:00 (CET);4940;7116;102;68;4455
BZN|ES;10.03.2021 02:00 - 10.03.2021 03:00 (CET);4409;7116;101;66;4503
BZN|ES;10.03.2021 03:00 - 10.03.2021 04:00 (CET);4324;7117;100;57;4669
BZN|ES;10.03.2021 04:00 - 10.03.2021 05:00 (CET);4121;7117;99;56;4817
BZN|ES;10.03.2021 05:00 - 10.03.2021 06:00 (CET);5086;7117;98;56;4759
BZN|ES;10.03.2021 06:00 - 10.03.2021 07:00 (CET);7326;7117;100;56;4977
BZN|ES;10.03.2021 07:00 - 10.03.2021 08:00 (CET);9448;7117;102;121;4976
BZN|ES;10.03.2021 08:00 - 10.03.2021 09:00 (CET);8928;7117;108;1880;4654
BZN|ES;10.03.2021 09:00 - 10.03.2021 10:00 (CET);8227;7116;109;5153;3772
BZN|ES;10.03.2021 10:00 - 10.03.2021 11:00 (CET);7362;7115;112;7670;3535
BZN|ES;10.03.2021 11:00 - 10.03.2021 12:00 (CET);5980;7115;107;8919;3842
BZN|ES;10.03.2021 12:00 - 10.03.2021 13:00 (CET);6421;7112;109;9231;4069
BZN|ES;10.03.2021 13:00 - 10.03.2021 14:00 (CET);6888;7110;109;9263;4265
BZN|ES;10.03.2021 14:00 - 10.03.2021 15:00 (CET);6462;7113;109;9191;4523
BZN|ES;10.03.2021 15:00 - 10.03.2021 16:00 (CET);6492;7111;110;8934;4766
BZN|ES;10.03.2021 16:00 - 10.03.2021 17:00 (CET);6118;7112;110;8237;4862
BZN|ES;10.03.2021 17:00 - 10.03.2021 18:00 (CET);6423;7111;109;6313;4831
BZN|ES;10.03.2021 18:00 - 10.03.2021 19:00 (CET);7626;7111;112;2782;4913
BZN|ES;10.03.2021 19:00 - 10.03.2021 20:00 (CET);8972;7110;113;788;5421
BZN|ES;10.03.2021 20:00 - 10.03.2021 21:00 (CET);9633;7111;113;576;5943
BZN|ES;10.03.2021 21:00 - 10.03.2021 22:00 (CET);8418;7112;111;548;6398
BZN|ES;10.03.2021 22:00 - 10.03.2021 23:00 (CET);7061;7112;106;501;6923
BZN|ES;10.03.2021 23:00 - 11.03.2021 00:00 (CET);4832;7113;107;361;7590
BZN|ES;11.03.2021 00:00 - 11.03.2021 01:00 (CET);4508;7114;102;270;8018
