Time (CET);Demand;Imports;Exports;Price;Hydro;Nuclear;Other renewable;Solar;Wind
09.03.2021 12:00 - 09.03.2021 13:00;33960;1435;0;57.94;6536;7116;106;6507;5161
09.03.2021 13:00 - 09.03.2021 14:00;33838;2534;350;56.47;5645;7115;106;6487;5457
09.03.2021 14:00 - 09.03.2021 15:00;32827;2544;419;56.49;5879;7115;106;6264;5400
09.03.2021 15:00 - 09.03.2021 16:00;31768;1453;463;56.78;5901;7113;108;5951;5268
09.03.2021 16:00 - 09.03.2021 17:00;31162;0;172;56.5;6815;7112;108;5670;5134
09.03.2021 17:00 - 09.03.2021 18:00;30960;713;0;59;7482;7112;110;4509;5203
09.03.2021 18:00 - 09.03.2021 19:00;31180;1783;0;63.01;8575;7112;112;2090;5065
09.03.2021 19:00 - 09.03.2021 20:00;33734;2688;0;75.01;10368;7111;112;418;5223
09.03.2021 20:00 - 09.03.2021 21:00;35171;2656;0;70;10574;7113;111;176;5420
09.03.2021 21:00 - 09.03.2021 22:00;34273;3180;0;61.7;9978;7116;110;98;5109
09.03.2021 22:00 - 09.03.2021 23:00;31495;2013;309;58.3;9067;7116;106;77;4889
09.03.2021 23:00 - 10.03.2021 00:00;28267;2946;872;56;6592;7116;107;77;4722
10.03.2021 00:00 - 10.03.2021 01:00;26212;2932;647;55.57;5673;7115;103;73;4508
10.03.2021 01:00 - 10.03.2021 02:00;24554;2661;825;53.46;4940;7116;102;68;4455
10.03.2021 02:00 - 10.03.2021 03:00;23521;2568;749;50.03;4409;7116;101;66;4503
10.03.2021 03:00 - 10.03.2021 04:00;23131;2417;880;49.04;4324;7117;100;57;4669
10.03.2021 04:00 - 10.03.2021 05:00;23084;2447;726;49;4121;7117;99;56;4817
10.03.2021 05:00 - 10.03.2021 06:00;23832;1728;411;53.08;5086;7117;98;56;4759
10.03.2021 06:00 - 10.03.2021 07:00;26742;772;0;58.9;7326;7117;100;56;4977
10.03.2021 07:00 - 10.03.2021 08:00;30539;2681;0;69.9;9448;7117;102;121;4976
10.03.2021 08:00 - 10.03.2021 09:00;33092;2602;0;68.08;8928;7117;108;1880;4654
10.03.2021 09:00 - 10.03.2021 10:00;34027;2752;0;62.37;8227;7116;109;5153;3772
10.03.2021 10:00 - 10.03.2021 11:00;34083;2158;0;59.31;7362;7115;112;7670;3535
10.03.2021 11:00 - 10.03.2021 12:00;33499;2418;517;55.93;5980;7115;107;8919;3842
10.03.2021 12:00 - 10.03.2021 13:00;33259;2427;582;54.12;6421;7112;109;9231;4069
10.03.2021 13:00 - 10.03.2021 14:00;33124;2603;799;51.94;6888;7110;109;9263;4265
10.03.2021 14:00 - 10.03.2021 15:00;32226;2451;833;51.57;6462;7113;109;9191;4523
10.03.2021 15:00 - 10.03.2021 16:00;31092;2553;1175;48.71;6492;7111;110;8934;4766
10.03.2021 16:00 - 10.03.2021 17:00;30547;1770;937;49.03;6118;7112;110;8237;4862
10.03.2021 17:00 - 10.03.2021 18:00;30218;436;332;54.78;6423;7111;109;6313;4831
10.03.2021 18:00 - 10.03.2021 19:00;30518;792;0;58.51;7626;7111;112;2782;4913
10.03.2021 19:00 - 10.03.2021 20:00;33038;3331;0;61.38;8972;7110;113;788;5421
10.03.2021 20:00 - 10.03.2021 21:00;34998;3624;0;62.07;9633;7111;113;576;5943
10.03.2021 21:00 - 10.03.2021 22:00;33937;3832;0;59.83;8418;7112;111;548;6398
10.03.2021 22:00 - 10.03.2021 23:00;31115;3535;737;53.46;7061;7112;106;501;6923
10.03.2021 23:00 - 11.03.2021 00:00;28041;3417;843;50.75;4832;7113;107;361;7590
11.03.2021 00:00 - 11.03.2021 01:00;25998;2400;972;40.17;4508;7114;102;270;8018
11.03.2021 01:00 - 11.03.2021 02:00;24308;2387;1262;37.64;5402;7112;101;176;8272
11.03.2021 02:00 - 11.03.2021 03:00;23398;1950;1030;32.3;6028;7114;101;137;8606
11.03.2021 03:00 - 11.03.2021 04:00;23013;2823;1501;27.43;6360;7114;102;126;9137
11.03.2021 04:00 - 11.03.2021 05:00;22975;2364;283;16.75;6771;7114;100;119;8917
11.03.2021 05:00 - 11.03.2021 06:00;23680;2484;384;20.71;6746;7113;99;69;9575
11.03.2021 06:00 - 11.03.2021 07:00;26391;1096;347;32.72;6126;7111;98;68;9961
11.03.2021 07:00 - 11.03.2021 08:00;29994;899;0;47.78;6369;7113;103;148;10167
11.03.2021 08:00 - 11.03.2021 09:00;32661;2336;0;53.03;6795;7111;107;1780;9618
11.03.2021 09:00 - 11.03.2021 10:00;33692;915;0;52.22;6550;7111;102;4756;9189
