"Time (CET),""Day-ahead Total Load Forecast [MW] - BZN|ES"",""Actual Total Load [MW] - BZN|ES"""
"09.03.2021 19:00 - 09.03.2021 20:00,""34003"",""33734"""
"09.03.2021 20:00 - 09.03.2021 21:00,""35353"",""35171"""
"09.03.2021 21:00 - 09.03.2021 22:00,""34177"",""34273"""
"09.03.2021 22:00 - 09.03.2021 23:00,""31347"",""31495"""
"09.03.2021 23:00 - 10.03.2021 00:00,""28197"",""28267"""
"10.03.2021 00:00 - 10.03.2021 01:00,""26312"",""26212"""
"10.03.2021 01:00 - 10.03.2021 02:00,""24696"",""24554"""
"10.03.2021 02:00 - 10.03.2021 03:00,""23767"",""23521"""
"10.03.2021 03:00 - 10.03.2021 04:00,""23448"",""23131"""
"10.03.2021 04:00 - 10.03.2021 05:00,""23391"",""23084"""
"10.03.2021 05:00 - 10.03.2021 06:00,""24146"",""23832"""
"10.03.2021 06:00 - 10.03.2021 07:00,""26822"",""26742"""
"10.03.2021 07:00 - 10.03.2021 08:00,""30658"",""30539"""
"10.03.2021 08:00 - 10.03.2021 09:00,""33213"",""33092"""
"10.03.2021 09:00 - 10.03.2021 10:00,""34400"",""34027"""
"10.03.2021 10:00 - 10.03.2021 11:00,""34628"",""34083"""
"10.03.2021 11:00 - 10.03.2021 12:00,""34400"",""33499"""
"10.03.2021 12:00 - 10.03.2021 13:00,""33823"",""33259"""
"10.03.2021 13:00 - 10.03.2021 14:00,""33742"",""33124"""
"10.03.2021 14:00 - 10.03.2021 15:00,""32831"",""32226"""
"10.03.2021 15:00 - 10.03.2021 16:00,""31697"",""31092"""
"10.03.2021 16:00 - 10.03.2021 17:00,""31116"",""30547"""
"10.03.2021 17:00 - 10.03.2021 18:00,""30822"",""30218"""
"10.03.2021 18:00 - 10.03.2021 19:00,""31004"",""30518"""
"10.03.2021 19:00 - 10.03.2021 20:00,""33456"",""33038"""
"10.03.2021 20:00 - 10.03.2021 21:00,""35029"",""34998"""
"10.03.2021 21:00 - 10.03.2021 22:00,""34069"",""33937"""
"10.03.2021 22:00 - 10.03.2021 23:00,""31415"",""31115"""
"10.03.2021 23:00 - 11.03.2021 00:00,""28324"",""28041"""
"11.03.2021 00:00 - 11.03.2021 01:00,""26050"",""25998"""
"11.03.2021 01:00 - 11.03.2021 02:00,""24398"",""24308"""
"11.03.2021 02:00 - 11.03.2021 03:00,""23430"",""23398"""
"11.03.2021 03:00 - 11.03.2021 04:00,""23074"",""23013"""
"11.03.2021 04:00 - 11.03.2021 05:00,""22987"",""22975"""
"11.03.2021 05:00 - 11.03.2021 06:00,""23692"",""23680"""
"11.03.2021 06:00 - 11.03.2021 07:00,""26357"",""26391"""
"11.03.2021 07:00 - 11.03.2021 08:00,""30069"",""29994"""
"11.03.2021 08:00 - 11.03.2021 09:00,""32433"",""32661"""
"11.03.2021 09:00 - 11.03.2021 10:00,""33483"",""33692"""
"11.03.2021 10:00 - 11.03.2021 11:00,""33655"",""33565"""
"11.03.2021 11:00 - 11.03.2021 12:00,""33297"",""33204"""
"11.03.2021 12:00 - 11.03.2021 13:00,""32908"",""32883"""
"11.03.2021 13:00 - 11.03.2021 14:00,""32840"",""32604"""
"11.03.2021 14:00 - 11.03.2021 15:00,""31976"",""31570"""
"11.03.2021 15:00 - 11.03.2021 16:00,""30951"",""30603"""
"11.03.2021 16:00 - 11.03.2021 17:00,""30334"",""30094"""
"11.03.2021 17:00 - 11.03.2021 18:00,""30058"",""29777"""
"11.03.2021 18:00 - 11.03.2021 19:00,""30149"",""29806"""
"11.03.2021 19:00 - 11.03.2021 20:00,""32408"",""32245"""
"11.03.2021 20:00 - 11.03.2021 21:00,""34071"",""34096"""
"11.03.2021 21:00 - 11.03.2021 22:00,""33309"",""33119"""
"11.03.2021 22:00 - 11.03.2021 23:00,""30601"",""30569"""
"11.03.2021 23:00 - 12.03.2021 00:00,""27680"",""27667"""
"12.03.2021 00:00 - 12.03.2021 01:00,""25668"",""25685"""
"12.03.2021 01:00 - 12.03.2021 02:00,""24051"",""24080"""
"12.03.2021 02:00 - 12.03.2021 03:00,""23145"",""23210"""
"12.03.2021 03:00 - 12.03.2021 04:00,""22777"",""22886"""
"12.03.2021 04:00 - 12.03.2021 05:00,""22750"",""22734"""
"12.03.2021 05:00 - 12.03.2021 06:00,""23484"",""23440"""
"12.03.2021 06:00 - 12.03.2021 07:00,""26158"",""26041"""
"12.03.2021 07:00 - 12.03.2021 08:00,""29695"",""29518"""
"12.03.2021 08:00 - 12.03.2021 09:00,""32105"",""31885"""
"12.03.2021 09:00 - 12.03.2021 10:00,""33342"",""32889"""
"12.03.2021 10:00 - 12.03.2021 11:00,""33506"",""33138"""
"12.03.2021 11:00 - 12.03.2021 12:00,""33247"",""32869"""
"12.03.2021 12:00 - 12.03.2021 13:00,""32983"",""32688"""
"12.03.2021 13:00 - 12.03.2021 14:00,""32738"",""32641"""
"12.03.2021 14:00 - 12.03.2021 15:00,""31651"",""31662"""
"12.03.2021 15:00 - 12.03.2021 16:00,""30462"",""30359"""
"12.03.2021 16:00 - 12.03.2021 17:00,""29804"",""29605"""
"12.03.2021 17:00 - 12.03.2021 18:00,""29403"",""29192"""
"12.03.2021 18:00 - 12.03.2021 19:00,""29337"",""29210"""
"12.03.2021 19:00 - 12.03.2021 20:00,""31492"",""31219"""
"12.03.2021 20:00 - 12.03.2021 21:00,""32980"",""32646"""
"12.03.2021 21:00 - 12.03.2021 22:00,""32166"",""31897"""
"12.03.2021 22:00 - 12.03.2021 23:00,""29751"",""29778"""
"12.03.2021 23:00 - 13.03.2021 00:00,""27223"",""27260"""
"13.03.2021 00:00 - 13.03.2021 01:00,""25493"",""25309"""
"13.03.2021 01:00 - 13.03.2021 02:00,""23794"",""23752"""
"13.03.2021 02:00 - 13.03.2021 03:00,""22716"",""22644"""
"13.03.2021 03:00 - 13.03.2021 04:00,""22173"",""22099"""
"13.03.2021 04:00 - 13.03.2021 05:00,""21893"",""21946"""
"13.03.2021 05:00 - 13.03.2021 06:00,""21920"",""21959"""
"13.03.2021 06:00 - 13.03.2021 07:00,""22637"",""22632"""
"13.03.2021 07:00 - 13.03.2021 08:00,""23555"",""23423"""
"13.03.2021 08:00 - 13.03.2021 09:00,""25168"",""24997"""
"13.03.2021 09:00 - 13.03.2021 10:00,""27598"",""27278"""
"13.03.2021 10:00 - 13.03.2021 11:00,""28881"",""28094"""
"13.03.2021 11:00 - 13.03.2021 12:00,""28974"",""28230"""
"13.03.2021 12:00 - 13.03.2021 13:00,""28532"",""27666"""
"13.03.2021 13:00 - 13.03.2021 14:00,""28659"",""27778"""
"13.03.2021 14:00 - 13.03.2021 15:00,""28186"",""27253"""
"13.03.2021 15:00 - 13.03.2021 16:00,""26725"",""26017"""
"13.03.2021 16:00 - 13.03.2021 17:00,""25784"",""25345"""
"13.03.2021 17:00 - 13.03.2021 18:00,""25361"",""24929"""
"13.03.2021 18:00 - 13.03.2021 19:00,""25720"",""25264"""
"13.03.2021 19:00 - 13.03.2021 20:00,""27965"",""27604"""
"13.03.2021 20:00 - 13.03.2021 21:00,""29796"",""29581"""
"13.03.2021 21:00 - 13.03.2021 22:00,""29787"",""29757"""
"13.03.2021 22:00 - 13.03.2021 23:00,""28132"",""28196"""
"13.03.2021 23:00 - 14.03.2021 00:00,""25782"",""25461"""
"14.03.2021 00:00 - 14.03.2021 01:00,""23667"",""23487"""
"14.03.2021 01:00 - 14.03.2021 02:00,""21963"",""21825"""
"14.03.2021 02:00 - 14.03.2021 03:00,""20938"",""20789"""
"14.03.2021 03:00 - 14.03.2021 04:00,""20337"",""20194"""
"14.03.2021 04:00 - 14.03.2021 05:00,""20079"",""20032"""
"14.03.2021 05:00 - 14.03.2021 06:00,""20205"",""20098"""
"14.03.2021 06:00 - 14.03.2021 07:00,""20793"",""20532"""
"14.03.2021 07:00 - 14.03.2021 08:00,""21177"",""20654"""
"14.03.2021 08:00 - 14.03.2021 09:00,""21987"",""21716"""
"14.03.2021 09:00 - 14.03.2021 10:00,""24066"",""24167"""
"14.03.2021 10:00 - 14.03.2021 11:00,""25826"",""25808"""
"14.03.2021 11:00 - 14.03.2021 12:00,""26456"",""26369"""
"14.03.2021 12:00 - 14.03.2021 13:00,""26472"",""26217"""
"14.03.2021 13:00 - 14.03.2021 14:00,""26931"",""26507"""
"14.03.2021 14:00 - 14.03.2021 15:00,""26763"",""26316"""
"14.03.2021 15:00 - 14.03.2021 16:00,""25256"",""24982"""
"14.03.2021 16:00 - 14.03.2021 17:00,""24390"",""23994"""
"14.03.2021 17:00 - 14.03.2021 18:00,""24084"",""23790"""
"14.03.2021 18:00 - 14.03.2021 19:00,""24807"",""24159"""
"14.03.2021 19:00 - 14.03.2021 20:00,""27289"",""26747"""
"14.03.2021 20:00 - 14.03.2021 21:00,""29461"",""29222"""
"14.03.2021 21:00 - 14.03.2021 22:00,""29444"",""29133"""
"14.03.2021 22:00 - 14.03.2021 23:00,""28072"",""27613"""
"14.03.2021 23:00 - 15.03.2021 00:00,""25668"",""25390"""
"15.03.2021 00:00 - 15.03.2021 01:00,""23116"",""23386"""
"15.03.2021 01:00 - 15.03.2021 02:00,""21787"",""22126"""
"15.03.2021 02:00 - 15.03.2021 03:00,""20935"",""21336"""
"15.03.2021 03:00 - 15.03.2021 04:00,""20651"",""21034"""
"15.03.2021 04:00 - 15.03.2021 05:00,""20754"",""21239"""
"15.03.2021 05:00 - 15.03.2021 06:00,""21730"",""22213"""
"15.03.2021 06:00 - 15.03.2021 07:00,""24665"",""25449"""
"15.03.2021 07:00 - 15.03.2021 08:00,""28204"",""29057"""
"15.03.2021 08:00 - 15.03.2021 09:00,""30889"",""31764"""
"15.03.2021 09:00 - 15.03.2021 10:00,""32561"",""33076"""
"15.03.2021 10:00 - 15.03.2021 11:00,""32920"",""33327"""
"15.03.2021 11:00 - 15.03.2021 12:00,""32752"",""32968"""
"15.03.2021 12:00 - 15.03.2021 13:00,""32343"",""32829"""
"15.03.2021 13:00 - 15.03.2021 14:00,""32220"",""32618"""
"15.03.2021 14:00 - 15.03.2021 15:00,""31301"",""31633"""
"15.03.2021 15:00 - 15.03.2021 16:00,""30326"",""30617"""
"15.03.2021 16:00 - 15.03.2021 17:00,""29837"",""29798"""
"15.03.2021 17:00 - 15.03.2021 18:00,""29518"",""29437"""
"15.03.2021 18:00 - 15.03.2021 19:00,""29557"",""29422"""
"15.03.2021 19:00 - 15.03.2021 20:00,""31752"",""31844"""
"15.03.2021 20:00 - 15.03.2021 21:00,""33670"",""33966"""
"15.03.2021 21:00 - 15.03.2021 22:00,""32697"",""32882"""
"15.03.2021 22:00 - 15.03.2021 23:00,""29983"",""30320"""
"15.03.2021 23:00 - 16.03.2021 00:00,""27075"",""27450"""
"16.03.2021 00:00 - 16.03.2021 01:00,""25424"",""25519"""
"16.03.2021 01:00 - 16.03.2021 02:00,""23908"",""23972"""
"16.03.2021 02:00 - 16.03.2021 03:00,""23119"",""23213"""
"16.03.2021 03:00 - 16.03.2021 04:00,""22799"",""22780"""
"16.03.2021 04:00 - 16.03.2021 05:00,""22822"",""22839"""
"16.03.2021 05:00 - 16.03.2021 06:00,""23588"",""23626"""
"16.03.2021 06:00 - 16.03.2021 07:00,""26280"",""26244"""
"16.03.2021 07:00 - 16.03.2021 08:00,""29841"",""29517"""
"16.03.2021 08:00 - 16.03.2021 09:00,""32404"",""31760"""
"16.03.2021 09:00 - 16.03.2021 10:00,""33522"",""32662"""
"16.03.2021 10:00 - 16.03.2021 11:00,""33464"",""33070"""
"16.03.2021 11:00 - 16.03.2021 12:00,""33154"",""32925"""
"16.03.2021 12:00 - 16.03.2021 13:00,""32847"",""32658"""
"16.03.2021 13:00 - 16.03.2021 14:00,""32764"",""32430"""
"16.03.2021 14:00 - 16.03.2021 15:00,""31778"",""31599"""
