"MTU (CET),""Day-ahead Price [EUR/MWh]"",""BZN|ES"""
"12.03.2021 19:00 - 12.03.2021 20:00,""55.01"""
"12.03.2021 20:00 - 12.03.2021 21:00,""52.57"""
"12.03.2021 21:00 - 12.03.2021 22:00,""52.01"""
"12.03.2021 22:00 - 12.03.2021 23:00,""51.03"""
"12.03.2021 23:00 - 13.03.2021 00:00,""46.88"""
"13.03.2021 00:00 - 13.03.2021 01:00,""41.50"""
"13.03.2021 01:00 - 13.03.2021 02:00,""29.50"""
"13.03.2021 02:00 - 13.03.2021 03:00,""27.73"""
"13.03.2021 03:00 - 13.03.2021 04:00,""26.00"""
"13.03.2021 04:00 - 13.03.2021 05:00,""27.73"""
"13.03.2021 05:00 - 13.03.2021 06:00,""26.92"""
"13.03.2021 06:00 - 13.03.2021 07:00,""28.05"""
"13.03.2021 07:00 - 13.03.2021 08:00,""28.28"""
"13.03.2021 08:00 - 13.03.2021 09:00,""32.12"""
"13.03.2021 09:00 - 13.03.2021 10:00,""29.01"""
"13.03.2021 10:00 - 13.03.2021 11:00,""26.91"""
"13.03.2021 11:00 - 13.03.2021 12:00,""23.00"""
"13.03.2021 12:00 - 13.03.2021 13:00,""23.40"""
"13.03.2021 13:00 - 13.03.2021 14:00,""19.90"""
"13.03.2021 14:00 - 13.03.2021 15:00,""19.40"""
"13.03.2021 15:00 - 13.03.2021 16:00,""5.41"""
"13.03.2021 16:00 - 13.03.2021 17:00,""4.04"""
"13.03.2021 17:00 - 13.03.2021 18:00,""16.83"""
"13.03.2021 18:00 - 13.03.2021 19:00,""32.50"""
"13.03.2021 19:00 - 13.03.2021 20:00,""45.99"""
"13.03.2021 20:00 - 13.03.2021 21:00,""43.84"""
"13.03.2021 21:00 - 13.03.2021 22:00,""43.19"""
"13.03.2021 22:00 - 13.03.2021 23:00,""33.25"""
"13.03.2021 23:00 - 14.03.2021 00:00,""31.57"""
"14.03.2021 00:00 - 14.03.2021 01:00,""24.45"""
"14.03.2021 01:00 - 14.03.2021 02:00,""22.20"""
"14.03.2021 02:00 - 14.03.2021 03:00,""19.99"""
"14.03.2021 03:00 - 14.03.2021 04:00,""17.20"""
"14.03.2021 04:00 - 14.03.2021 05:00,""17.04"""
"14.03.2021 05:00 - 14.03.2021 06:00,""14.79"""
"14.03.2021 06:00 - 14.03.2021 07:00,""18.33"""
"14.03.2021 07:00 - 14.03.2021 08:00,""18.00"""
"14.03.2021 08:00 - 14.03.2021 09:00,""18.00"""
"14.03.2021 09:00 - 14.03.2021 10:00,""19.91"""
"14.03.2021 10:00 - 14.03.2021 11:00,""14.34"""
"14.03.2021 11:00 - 14.03.2021 12:00,""14.00"""
"14.03.2021 12:00 - 14.03.2021 13:00,""14.00"""
"14.03.2021 13:00 - 14.03.2021 14:00,""10.07"""
"14.03.2021 14:00 - 14.03.2021 15:00,""9.49"""
"14.03.2021 15:00 - 14.03.2021 16:00,""5.00"""
"14.03.2021 16:00 - 14.03.2021 17:00,""11.00"""
"14.03.2021 17:00 - 14.03.2021 18:00,""25.80"""
"14.03.2021 18:00 - 14.03.2021 19:00,""42.86"""
"14.03.2021 19:00 - 14.03.2021 20:00,""56.56"""
"14.03.2021 20:00 - 14.03.2021 21:00,""55.18"""
"14.03.2021 21:00 - 14.03.2021 22:00,""49.86"""
"14.03.2021 22:00 - 14.03.2021 23:00,""46.90"""
"14.03.2021 23:00 - 15.03.2021 00:00,""44.10"""
"15.03.2021 00:00 - 15.03.2021 01:00,""46.73"""
"15.03.2021 01:00 - 15.03.2021 02:00,""41.04"""
"15.03.2021 02:00 - 15.03.2021 03:00,""37.28"""
"15.03.2021 03:00 - 15.03.2021 04:00,""35.03"""
"15.03.2021 04:00 - 15.03.2021 05:00,""33.41"""
"15.03.2021 05:00 - 15.03.2021 06:00,""40.92"""
"15.03.2021 06:00 - 15.03.2021 07:00,""50.76"""
"15.03.2021 07:00 - 15.03.2021 08:00,""54.01"""
"15.03.2021 08:00 - 15.03.2021 09:00,""54.33"""
